"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960554029098131955","Wed Aug 27 04:04:40 +0000 2025","0","Ready yuk update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang","1960554029098131955","","","in","","0","0","0","https://x.com/undefined/status/1960554029098131955","1216253475505360896",
"1960538711084687448","Wed Aug 27 03:03:48 +0000 2025","0","Open yuk update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang","1960538711084687448","","","in","","0","0","0","https://x.com/undefined/status/1960538711084687448","1216253475505360896",
"1960397555403006341","Wed Aug 27 02:47:06 +0000 2025","0","@sqwzdrive sore: istri dari masa depan","1960534507561607221","","sqwzdrive","in","","0","0","0","https://x.com/undefined/status/1960534507561607221","1258477219",
"1960507194870313466","Wed Aug 27 00:58:34 +0000 2025","0","[RESENSI FILM] Dari film Sore: Istri Dari Masa Depan bisa kita simpulkan bahwa terdapat berbagai makna tentang pentingnya waktu dalam hidup kita. Kita bernafas dalam keyakinan bahwa waktu selalu setia hingga kita berani berkata nanti saja . https://t.co/LQyUlSGE0O","1960507194870313466","https://pbs.twimg.com/media/GzUe4bpa4AAqbvL.jpg","","in","","0","1","0","https://x.com/undefined/status/1960507194870313466","1106699385478377473",
"1960475579737891032","Tue Aug 26 22:56:21 +0000 2025","0","@doobeedumpp Sore istri dari masa depan?","1960476437435310218","","doobeedumpp","in","","0","0","0","https://x.com/undefined/status/1960476437435310218","1355657867102019584",
"1943468476477378835","Tue Aug 26 22:47:40 +0000 2025","0","[Hari 48#] Jadwal pemutaran film Sore Istri Dari Masa Depan Selasa (26/8): DP 12:00 14:20 16:40 19:00 21:20 The Park 13:05 15:25 17:45 20:05*","1960474253247307825","","Kofindo","in","","0","1","0","https://x.com/undefined/status/1960474253247307825","551700617",
"1960335255723975027","Tue Aug 26 15:01:09 +0000 2025","0","@esnghoon Ini ashen atau soren atau hai aku sore istri kamu dari masa depan","1960356849041158448","","esnghoon","in","","0","0","0","https://x.com/undefined/status/1960356849041158448","1315925659072380928",
"1960352197792903394","Tue Aug 26 14:42:40 +0000 2025","0","halo aku sore istri kamu dari masa depan","1960352197792903394","","","in","","0","2","0","https://x.com/undefined/status/1960352197792903394","3169692479",
"1960350750045077625","Tue Aug 26 14:36:55 +0000 2025","0","kalo time loop kayak sore istri dari masa depan dong","1960350750045077625","","","in","","0","1","0","https://x.com/undefined/status/1960350750045077625","1698228497301504000",
"1960342436527616062","Tue Aug 26 14:03:52 +0000 2025","8","Sore: Istri dari Masa Depan bagus banget men sorry baru sempet nonton wkkw","1960342436527616062","","","in","","0","0","1","https://x.com/undefined/status/1960342436527616062","3736179073",
"1890097572917965201","Tue Aug 26 12:59:41 +0000 2025","0","Sore: Istri dari Masa Depan (2025) https://t.co/aXbCe6ckB8","1960326282216132951","https://pbs.twimg.com/media/GzR6XOFaMAApO-g.jpg","swiftmeow_id","in","","1","1","0","https://x.com/undefined/status/1960326282216132951","375596218",
"1960317585980850568","Tue Aug 26 12:28:51 +0000 2025","1","@sapphicsfess gini ajaa hello kenalan yu haii aku sore istri kmu dari masa depan ","1960318521986138155","","sapphicsfess","in","","0","0","0","https://x.com/undefined/status/1960318521986138155","1803765121753501696",
"1960317896183435335","Tue Aug 26 12:26:22 +0000 2025","0","menurutku lagu yg cocok utk mereka semua itu ost sore: istri dari masa depan terutama judul lagunya terbuang dalam waktu ","1960317896183435335","","","in","","0","0","0","https://x.com/undefined/status/1960317896183435335","1668573945564635136",
"1960314127244722619","Tue Aug 26 12:11:23 +0000 2025","0","hai taesan aku sore istri kamu dari masa depan https://t.co/wIsjx4iZN2","1960314127244722619","https://pbs.twimg.com/media/GzRvTk8bMAA5dOB.jpg","","in","","0","3","0","https://x.com/undefined/status/1960314127244722619","1513047220332818432",
"1960302521093616083","Tue Aug 26 11:25:57 +0000 2025","0","@selfolssi kamu sore istri dari masa depan ya","1960302692644864174","","selfolssi","in","","0","0","0","https://x.com/undefined/status/1960302692644864174","2757570731",
"1960294827242954906","Tue Aug 26 10:54:41 +0000 2025","0","Masi open ya Update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang","1960294827242954906","","","in","","0","0","0","https://x.com/undefined/status/1960294827242954906","1216253475505360896",
"1960271892079845678","Tue Aug 26 09:23:33 +0000 2025","0","Update harga terbaru voucher B1G1 promo Cinepolisss: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang","1960271892079845678","","","in","","0","0","0","https://x.com/undefined/status/1960271892079845678","1216253475505360896",
"1960245546540835115","Tue Aug 26 07:38:52 +0000 2025","0","Open terus yuk Update harga terbaru voucher B1G1 promo Cinepolisss: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960245546540835115","","","in","","0","0","0","https://x.com/undefined/status/1960245546540835115","1216253475505360896",
"1960137967751909763","Tue Aug 26 06:33:04 +0000 2025","0","@drincking Kok ga sore aja istri dari masa depan","1960228987923554397","","drincking","in","","0","0","0","https://x.com/undefined/status/1960228987923554397","1946162041766703104",
"1960218352502362350","Tue Aug 26 05:50:48 +0000 2025","0","Update harga terbaru voucher B1G1 promo Cinepolissss: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960218352502362350","","","in","","0","0","0","https://x.com/undefined/status/1960218352502362350","1216253475505360896",
"1960195260392628272","Tue Aug 26 04:19:03 +0000 2025","0","Open terus yuk Update harga terbaru voucher B1G1 promo Cinepoliss: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960195260392628272","","","in","","0","0","0","https://x.com/undefined/status/1960195260392628272","1216253475505360896",
"1959853268168802792","Tue Aug 26 04:17:23 +0000 2025","0","@normelpeople @munvess sore - istri dari masa depan","1960194842002108676","","normelpeople","in","","0","0","0","https://x.com/undefined/status/1960194842002108676","579795847",
"1960187370109600120","Tue Aug 26 03:47:42 +0000 2025","114","Sore: Istri Dari Masa Depan Tayang di Malaysia mulai 25 September! https://t.co/zS4kfstcjE","1960187370109600120","https://pbs.twimg.com/amplify_video_thumb/1959986372695273472/img/pSxpVJiGyThKrYW6.jpg","","in","","7","0","17","https://x.com/undefined/status/1960187370109600120","1297733148",
"1960178154267668855","Tue Aug 26 03:11:04 +0000 2025","3"," Tahu nggak kenapa senja itu menyenangkan? Kadang dia merah merekah bahagia kadang dia hitam gelap berduka tapi langit selalu menerima senja apa adanya. Sore: Istri dari Masa Depan https://t.co/4SlAnZoQiQ","1960178154267668855","https://pbs.twimg.com/media/GzPzo8uaoAAbSwN.jpg","","in","","0","0","0","https://x.com/undefined/status/1960178154267668855","1364953482919350274",
